session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_disability,participant_language,exclusion_name,exclusion_reason,exclusion_description,vol_id
25533,2018-65,2018-03-12,SHARED,2018-65,2014-01-25,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
25534,2018-66,2018-03-12,EXCERPTS,2018-66,2014-02-13,Male,White,Unknown or not reported,typical,English,ceiling,Did not meet inclusion criteria,was ceiling at pre-test,308
25535,2018-67,2018-03-12,EXCERPTS,2018-67,2013-12-30,Male,White,Not Hispanic or Latino,typical,English,ceiling,Did not meet inclusion criteria,was ceiling at pre-test,308
25536,2018-68,2018-03-12,SHARED,2018-68,2014-02-12,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
25537,2018-69,2018-03-12,EXCERPTS,2018-69,2013-06-23,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
25538,2018-70,2018-03-12,SHARED,2018-70,2013-09-07,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
25539,2018-71,2018-03-12,EXCERPTS,2018-71,2013-10-03,Female,White,Unknown or not reported,typical,English,NA,NA,NA,308
25583,2018-73,2018-03-14,SHARED,2018-73,2013-10-22,Female,White,Unknown or not reported,typical,English,inverted,NA,NA,308
25584,2018-74,2018-XX-XX,PRIVATE,2018-74,NA,Female,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
25696,2018-81,2018-03-24,EXCERPTS,2018-81,2012-07-04,Female,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
25697,2018-82,2018-03-24,EXCERPTS,2018-82,2012-06-26,Female,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
25698,2018-83,2018-03-24,EXCERPTS,2018-83,2014-03-18,Female,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
25699,2018-85,2018-XX-XX,PRIVATE,2018-85,NA,Female,White,Unknown or not reported,typical,English,NA,NA,NA,308
25700,2018-86,2018-XX-XX,PRIVATE,2018-86,NA,Female,NA,Hispanic or Latino,typical,English,NA,NA,NA,308
25947,2018-87,2018-03-31,EXCERPTS,2018-87,2013-08-08,Female,White,Not Hispanic or Latino,typical,English,inverted,NA,NA,308
25948,2018-88,2018-03-31,SHARED,2018-88,2013-03-20,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
25949,2018-89,2018-03-31,EXCERPTS,2018-89,2012-04-20,Female,White,Unknown or not reported,typical,English,NA,NA,NA,308
25950,2018-90,2018-XX-XX,PRIVATE,2018-90,NA,Female,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
25951,2018-91,2018-03-31,EXCERPTS,2018-91,2014-01-23,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
27452,2018-120,2018-04-28,EXCERPTS,2018-120,2012-08-16,Male,Black or African American,Hispanic or Latino,typical,English,NA,NA,NA,308
27453,2018-121,2018-04-28,EXCERPTS,2018-121,2014-04-23,Female,White,Unknown or not reported,typical,English,ceiling,Did not meet inclusion criteria,was ceiling at pre-test,308
27454,2018-122,2018-04-28,SHARED,2018-122,2012-06-11,Male,White,Hispanic or Latino,typical,English,NA,NA,NA,308
27455,2018-123,2018-XX-XX,PRIVATE,2018-123,NA,Male,Black or African American,Unknown or not reported,typical,English,NA,NA,NA,308
27621,2018-128,2018-05-05,EXCERPTS,2018-128,2014-04-19,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
27622,2018-129,2018-XX-XX,PRIVATE,2018-129,NA,Female,Black or African American,Not Hispanic or Latino,typical,English,NA,NA,NA,308
27623,2018-130,2018-05-05,SHARED,2018-130,2013-06-14,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
27624,2018-131,2017-05-05,EXCERPTS,2018-131,2012-10-24,Male,White,Hispanic or Latino,typical,English,NA,NA,NA,308
27625,2018-132,2018-05-05,EXCERPTS,2018-132,2012-12-27,Female,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
38260,2019-029,2019-XX-XX,PRIVATE,2019-029,NA,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
38262,2019-030,2019-XX-XX,PRIVATE,2019-030,NA,Female,White and Asian,Unknown or not reported,typical,English,NA,NA,NA,308
38264,2019-031,2019-06-18,EXCERPTS,2019-031,2014-12-16,Female,White,Unknown or not reported,typical,English,NA,NA,NA,308
38387,2019-032,2019-06-25,EXCERPTS,2019-032,2014-01-17,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
38388,2019-033,2019-06-25,EXCERPTS,2019-033,2015-04-13,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
38577,2019-035,2019-07-09,EXCERPTS,2019-035,2014-10-10,Female,NA,Unknown or not reported,typical,English,NA,NA,NA,308
40455,2019-089,2019-09-13,EXCERPTS,2019-089,2013-11-06,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
40500,2019-090,2019-XX-XX,PRIVATE,2019-090,NA,Female,White,NA,typical,English,NA,NA,NA,308
40502,2019-091,2019-09-19,EXCERPTS,2019-091,2015-04-29,Male,Black or African American,Not Hispanic or Latino,typical,English,NA,NA,NA,308
40508,2019-092,2014-09-20,EXCERPTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308
40832,2019-107,2019-09-26,EXCERPTS,2019-107,2014-12-08,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
40833,2019-108,2019-09-26,EXCERPTS,2019-108,2014-12-25,Female,White,Unknown or not reported,typical,English,NA,NA,NA,308
40834,2019-109,2019-09-26,SHARED,2019-109,2014-08-21,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
40835,2019-110,2019-09-26,SHARED,2019-110,2014-09-01,Female,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
40836,2019-111,2019-XX-XX,PRIVATE,2019-111,NA,Female,Asian,Unknown or not reported,typical,English,NA,NA,NA,308
40837,2019-102,2019-09-25,EXCERPTS,2019-102,2015-05-31,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
40838,2019-103,2018-XX-XX,PRIVATE,2019-103,NA,Female,White,Unknown or not reported,typical,English,NA,NA,NA,308
40839,2019-104,2019-09-25,EXCERPTS,2019-104,2015-08-06,Female,White,Unknown or not reported,typical,English,NA,NA,NA,308
40840,2019-105,2019-09-25,EXCERPTS,2019-105,2015-02-03,Female,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
40841,2019-106,2019-09-25,EXCERPTS,2019-106,2014-09-13,Male,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
41325,2019-119,2019-10-02,EXCERPTS,2019-119,2015-09-09,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
41326,2019-120,2019-10-02,EXCERPTS,2019-120,2014-08-06,Female,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
41327,2019-121,2019-10-02,SHARED,2019-121,2015-08-28,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
41328,2019-122,2019-12-02,EXCERPTS,2019-121,2015-08-28,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
41329,2019-123,2019-10-03,EXCERPTS,2019-123,2014-07-24,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
41429,2019-142,2019-10-10,EXCERPTS,2019-142,2015-05-24,Female,White,Unknown or not reported,typical,English,NA,NA,NA,308
41814,2019-163,2019-XX-XX,PRIVATE,2019-163,NA,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
41815,2019-164,2019-11-04,EXCERPTS,2019-164,2015-01-20,Female,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
41816,2019-165,2019-11-04,EXCERPTS,2019-165,2015-07-11,Female,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
41817,2019-166,2019-XX-XX,PRIVATE,2019-166,NA,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
41818,2019-167,2019-XX-XX,PRIVATE,2019-167,NA,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
41819,2019-168,2019-11-04,EXCERPTS,2019-168,2015-03-16,Female,Unknown or not reported,Hispanic or Latino,typical,English,NA,NA,NA,308
41853,2019-169,2019-XX-XX,PRIVATE,2019-169,NA,Female,White,Unknown or not reported,typical,English,NA,NA,NA,308
41854,2019-170,2019-XX-XX,PRIVATE,2019-170,NA,Female,White,Unknown or not reported,typical,English,NA,NA,NA,308
41855,2019-171,2019-XX-XX,PRIVATE,2019-171,NA,Female,White,Unknown or not reported,typical,English,NA,NA,NA,308
41856,2019-174,2019-11-07,SHARED,2019-174,2015-06-11,Female,White,Not Hispanic or Latino,typical,English,NA,NA,NA,308
41862,2019-183,2019-11-11,EXCERPTS,2019-183,2015-08-10,Female,White,Unknown or not reported,typical,English,NA,NA,NA,308
41871,2019-184,2019-11-11,SHARED,2019-184,2014-09-25,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
41996,2019-185,2019-11-13,EXCERPTS,2019-185,2014-05-20,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
41997,2019-186,2019-11-13,EXCERPTS,2019-186,2014-09-04,Male,White,Unknown or not reported,typical,English,NA,NA,NA,308
