session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,task1_name,task1_description,task2_name,task2_description,task3_name,task3_description,task4_name,task4_description,context_setting,context_state,vol_id
6983,NA,2014-09-26,EXCERPTS,304,2010-02-12,Female,3 Typical Box,3 option unexpected contents with typical box,3 Location,3 option unexpected location task,3 Neutral Box,3 option unexpected contents with neutral box,2 Typical Box,Standard two option typical box task,Lab,AZ,98
6984,NA,2014-10-01,EXCERPTS,305,2010-05-19,Male,3 Typical Box,3 option unexpected contents with typical box,3 Location,3 option unexpected location task,3 Neutral Box,3 option unexpected contents with neutral box,2 Typical Box,Standard two option typical box task,Lab,AZ,98
6985,NA,2014-10-01,EXCERPTS,306,2010-04-22,Female,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
6986,NA,2014-10-01,SHARED,307,2009-12-02,Female,3 Typical Box,3 option unexpected contents with typical box,3 Location,3 option unexpected location task,3 Neutral Box,3 option unexpected contents with neutral box,2 Typical Box,Standard two option typical box task,Lab,AZ,98
6987,NA,2014-10-03,EXCERPTS,308,2009-08-30,Male,3 Typical Box,3 option unexpected contents with typical box,3 Location,3 option unexpected location task,3 Neutral Box,3 option unexpected contents with neutral box,2 Typical Box,Standard two option typical box task,Lab,AZ,98
6988,NA,2014-10-03,EXCERPTS,309,2010-09-06,Male,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
6989,NA,2014-10-06,EXCERPTS,310,2010-10-13,Male,3 Typical Box,3 option unexpected contents with typical box,3 Location,3 option unexpected location task,3 Neutral Box,3 option unexpected contents with neutral box,2 Typical Box,Standard two option typical box task,Lab,AZ,98
6990,NA,2014-10-06,EXCERPTS,311,2010-05-26,Male,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
6991,NA,2014-10-08,EXCERPTS,312,2010-07-19,Female,3 Typical Box,3 option unexpected contents with typical box,3 Location,3 option unexpected location task,3 Neutral Box,3 option unexpected contents with neutral box,2 Typical Box,Standard two option typical box task,Lab,AZ,98
6992,NA,2014-10-08,EXCERPTS,313,2010-08-10,Male,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
6993,NA,2014-10-15,EXCERPTS,314,2010-11-19,Female,3 Typical Box,3 option unexpected contents with typical box,3 Location,3 option unexpected location task,3 Neutral Box,3 option unexpected contents with neutral box,2 Typical Box,Standard two option typical box task,Lab,AZ,98
6994,NA,2014-10-15,EXCERPTS,315,2009-09-30,Female,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
6995,NA,2014-10-15,EXCERPTS,316,2010-07-27,Male,3 Typical Box,3 option unexpected contents with typical box,3 Location,3 option unexpected location task,3 Neutral Box,3 option unexpected contents with neutral box,2 Typical Box,Standard two option typical box task,Lab,AZ,98
9847,Top-level materials,materials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
