session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,exclusion1_name,exclusion1_description,exclusion2_name,exclusion2_description,condition1_name,condition2_name,condition3_name,condition4_name,condition5_name,condition6_name,condition7_name,vol_id
6290,NA,2010-03-08,SHARED,F-AA-12,2005-03-30,Female,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Sad,Fear,Happy,Angry,Surprise,Disgust,30
6291,NA,2010-03-09,SHARED,F-AA-13,2004-12-16,Female,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Happy,Angry,Sad,Surprise,Fear,NA,30
6292,NA,2010-03-16,SHARED,F-AA-14,2003-09-10,Female,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Angry,Surprise,Disgust,Happy,Fear,NA,30
6293,NA,2010-04-13,SHARED,F-AA-15,2004-07-27,Female,Black or African American,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Neutral,Happy,Sad,Fear,Surprise,Disgust,Angry,30
6294,NA,2009-07-29,SHARED,F-AA-16,2004-07-19,Female,Black or African American,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,NA,NA,Happy,Angry,Disgust,Neutral,Surprise,NA,NA,30
6295,NA,2010-02-16,SHARED,F-AS-01,2006-03-22,Female,Asian,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Sad,Happy,Disgust,Angry,Neutral,NA,NA,30
6296,NA,2010-02-18,SHARED,F-AS-02,2004-08-30,Female,Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Angry,Happy,Fear,Surprise,Disgust,Sad,30
6297,NA,2010-02-25,SHARED,F-AS-03,2005-08-02,Female,Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Angry,Surprise,Sad,Fear,Disgust,NA,30
6298,NA,2010-02-25,SHARED,F-AS-04,2003-12-15,Female,Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Angry,Sad,Fear,Surprise,Disgust,Happy,30
6299,NA,2010-03-09,SHARED,F-AS-05,2004-11-05,Female,Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Surprise,Disgust,Angry,Fear,NA,NA,30
6300,NA,2009-04-09,SHARED,F-AS-07,2003-09-05,Female,Asian,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Angry,Disgust,Surprise,Neutral,Fear,NA,NA,30
6301,NA,2010-04-11,SHARED,F-AS-08,2005-08-19,Female,Asian,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Happy,Angry,Sad,Surprise,Disgust,Neutral,NA,30
6302,NA,2010-04-08,SHARED,F-AS-09,2002-11-05,Female,Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Disgust,Neutral,Happy,Angry,Sad,Fear,Surprise,30
6303,NA,2008-07-08,SHARED,F-EA-01,2003-03-06,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Angry,Sad,Fear,Disgust,Surprise,Happy,30
6304,NA,2008-07-18,SHARED,F-EA-02,2003-03-10,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Sad,Fear,Angry,Disgust,NA,NA,30
6305,NA,2008-07-21,SHARED,F-EA-03,2003-01-14,Female,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Happy,Neutral,Angry,Disgust,NA,NA,NA,30
6306,NA,2008-08-08,SHARED,F-EA-04,2003-01-23,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Sad,Angry,Fear,Disgust,NA,NA,30
6307,NA,2008-08-28,SHARED,F-EA-07,2003-04-25,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Angry,Sad,Disgust,Surprise,Neutral,NA,30
6308,NA,2009-01-26,SHARED,F-EA-08,2003-03-02,Female,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Happy,Angry,Surprise,NA,NA,NA,NA,30
6309,NA,2009-03-30,SHARED,F-EA-10,2006-02-22,Female,White,NA,NA,NA,NA,NA,Angry,NA,NA,NA,NA,NA,NA,30
6310,NA,2009-04-07,SHARED,F-EA-12,2005-03-03,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Sad,Fear,Surprise,Neutral,Angry,NA,30
6311,NA,2009-04-23,SHARED,F-EA-13,2003-06-25,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Angry,Fear,Neutral,NA,NA,NA,NA,30
6312,NA,2009-04-24,SHARED,F-EA-15,2003-10-29,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Angry,Surprise,Fear,Disgust,Neutral,Sad,30
6313,NA,2009-05-04,SHARED,F-EA-16,2004-04-09,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Angry,Disgust,Fear,Surprise,NA,NA,30
6314,NA,2009-05-05,SHARED,F-EA-17,2002-07-08,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Disgust,Neutral,Angry,NA,NA,NA,30
6315,NA,2009-05-21,SHARED,F-EA-18,2003-10-26,Female,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Happy,Angry,Neutral,Disgust,NA,NA,NA,30
6316,NA,2009-05-27,SHARED,F-EA-19,2004-05-31,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Angry,Neutral,NA,NA,NA,NA,30
6317,NA,2009-06-04,SHARED,F-EA-21,2004-01-24,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Angry,Sad,Surprise,Fear,NA,30
6318,NA,2009-06-05,SHARED,F-EA-22,2004-05-19,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Disgust,Happy,Angry,Fear,NA,NA,30
6319,NA,2009-06-09,SHARED,F-EA-23,2003-04-07,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Disgust,Fear,Angry,Surprise,NA,NA,30
6320,NA,2009-06-10,SHARED,F-EA-24,2004-09-11,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Angry,Fear,Disgust,Sad,Surprise,NA,NA,30
6321,NA,2009-06-15,SHARED,F-EA-25,2002-07-03,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Fear,Disgust,Neutral,Sad,Angry,NA,30
6322,NA,2009-06-15,SHARED,F-EA-26,2003-12-07,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Angry,Fear,Disgust,Neutral,NA,NA,NA,30
6323,NA,2009-06-18,SHARED,F-EA-27,2003-10-26,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Angry,Disgust,Neutral,Surprise,Fear,NA,30
6324,NA,2009-06-22,SHARED,F-EA-28,2002-12-01,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Angry,Fear,Disgust,Surprise,Neutral,NA,NA,30
6325,NA,2009-06-22,SHARED,F-EA-29,2005-06-09,Female,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Happy,Angry,Disgust,Surprise,NA,NA,NA,30
6326,NA,2009-06-24,SHARED,F-EA-30,2002-10-11,Female,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Neutral,Happy,Surprise,Angry,Fear,Sad,Disgust,30
6327,NA,2009-06-25,SHARED,F-EA-31,2003-05-04,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Angry,Sad,Disgust,Happy,NA,NA,NA,30
6328,NA,2009-06-26,SHARED,F-EA-32,2005-02-19,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Sad,Fear,Angry,Disgust,Surprise,Happy,30
6329,NA,2009-06-29,SHARED,F-EA-33,2004-08-13,Female,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Happy,Angry,Sad,Surprise,Neutral,Fear,Disgust,30
6330,NA,2009-06-30,SHARED,F-EA-34,2004-11-06,Female,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Happy,Angry,Neutral,Disgust,NA,NA,NA,30
6331,NA,2009-07-10,SHARED,F-EA-36,2003-10-16,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Happy,Surprise,Disgust,Angry,NA,NA,30
6332,NA,2009-07-13,SHARED,F-EA-38,2004-04-23,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Angry,Surprise,Fear,NA,NA,30
6333,NA,2009-06-03,SHARED,F-EA-39,2004-08-01,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Happy,Disgust,Surprise,Angry,NA,NA,30
6334,NA,2009-07-09,SHARED,F-EA-41,2004-06-17,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Surprise,Angry,Disgust,Fear,NA,30
6335,NA,2010-03-18,SHARED,F-LA-01,2004-11-26,Female,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Disgust,Angry,Sad,Fear,Surprise,NA,30
6336,NA,2010-03-24,SHARED,F-LA-02,2005-12-19,Female,NA,Hispanic or Latino,NA,NA,NA,NA,Happy,Surprise,Disgust,Angry,NA,NA,NA,30
6337,NA,2010-03-24,SHARED,F-LA-03,2004-07-24,Female,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Surprise,Disgust,Neutral,Angry,Sad,NA,NA,30
6338,NA,2010-04-14,SHARED,F-LA-04,2005-08-24,Female,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Disgust,Angry,Sad,NA,NA,30
6339,NA,2010-05-11,SHARED,F-LA-05,NA,Female,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Disgust,Happy,Fear,Neutral,Angry,Sad,Surprise,30
6340,NA,2011-09-09,SHARED,F-LA-12,2005-03-12,Female,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Sad,Fear,Disgust,Neutral,Angry,NA,30
6341,NA,2011-09-09,SHARED,F-LA-13,2005-01-20,Female,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Angry,Neutral,Fear,Surprise,Disgust,NA,30
6342,NA,2009-03-20,SHARED,F-PI-01,2004-06-12,Female,Native Hawaiian or Other Pacific Islander,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Disgust,Angry,Surprise,Neutral,NA,NA,30
6343,NA,2010-02-08,SHARED,F-SA-01,2004-04-27,Female,South Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Angry,Sad,Fear,Surprise,Neutral,NA,30
6344,NA,2010-02-16,SHARED,F-SA-02,2004-12-29,Female,South Asian,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Disgust,Neutral,Happy,Surprise,Angry,Sad,Fear,30
6345,NA,2010-02-24,SHARED,F-SA-03,2005-06-09,Female,South Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Fear,Disgust,Sad,Angry,Surprise,30
6346,NA,2010-02-25,SHARED,F-SA-04,2005-11-16,Female,South Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Angry,Fear,Disgust,Neutral,Happy,Sad,Surprise,30
6347,NA,2010-02-25,SHARED,F-SA-05,2004-12-02,Female,South Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Neutral,Angry,Disgust,NA,NA,NA,30
6348,NA,2010-03-04,SHARED,F-SA-06,2005-02-08,Female,South Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Angry,Surprise,Disgust,Sad,NA,30
6349,NA,2010-03-09,SHARED,F-SA-07,2004-05-20,Female,South Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Sad,Fear,Disgust,Neutral,Angry,Surprise,30
6350,NA,2010-03-09,SHARED,F-SA-08,2006-02-06,Female,South Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Angry,Sad,Fear,Disgust,Surprise,30
6351,NA,2010-03-01,SHARED,F-SA-09,2004-07-19,Female,South Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Happy,Disgust,Angry,Sad,Fear,Surprise,30
6352,NA,2010-05-20,SHARED,F-SA-10,2006-06-05,Female,South Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Angry,Surprise,Fear,Neutral,Sad,Disgust,30
6353,NA,2010-02-03,SHARED,M-AA-01,2006-01-11,Male,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Fear,Neutral,Angry,NA,NA,NA,NA,30
6354,NA,2010-02-18,SHARED,M-AA-03,2005-01-15,Male,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Angry,Happy,Sad,Fear,Disgust,Neutral,Surprise,30
6355,NA,2010-02-23,SHARED,M-AA-04,2005-07-29,Male,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Angry,Disgust,Neutral,Sad,NA,NA,30
6356,NA,2010-02-23,SHARED,M-AA-05,2004-12-08,Male,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Happy,Angry,Surprise,Fear,Disgust,NA,30
6357,NA,2010-03-03,SHARED,M-AA-06,2005-05-16,Male,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Angry,Sad,Surprise,Neutral,Disgust,NA,30
6358,NA,2010-03-16,SHARED,M-AA-07,2005-03-18,Male,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Angry,Disgust,Fear,Surprise,NA,30
6359,NA,2010-04-14,SHARED,M-AA-08,2005-06-23,Male,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Happy,Angry,Fear,Surprise,Disgust,NA,30
6360,NA,2010-05-11,SHARED,M-AA-09,2004-12-30,Male,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Angry,Disgust,Neutral,Surprise,Sad,Fear,30
6361,NA,2010-05-13,SHARED,M-AA-11,2003-06-29,Male,Black or African American,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Happy,Sad,Disgust,Angry,Fear,NA,NA,30
6362,NA,2010-02-16,SHARED,M-AS-01,2003-08-12,Male,Asian,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Neutral,Happy,Angry,Sad,Disgust,NA,NA,30
6363,NA,2010-02-23,SHARED,M-AS-02,2003-11-26,Male,Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Angry,Fear,Disgust,Happy,Sad,Surprise,30
6364,NA,2010-04-11,SHARED,M-AS-04,2005-05-17,Male,Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Fear,Happy,Angry,Sad,Surprise,NA,30
6365,NA,2010-04-14,SHARED,M-AS-06,2006-02-12,Male,Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Angry,Sad,Surprise,Disgust,Neutral,Happy,Fear,30
6366,NA,2009-04-27,SHARED,M-AS-07,2004-12-28,Male,Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Surprise,Angry,Neutral,NA,NA,NA,30
6367,NA,2008-08-04,SHARED,M-EA-02,2003-08-04,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Angry,Fear,Disgust,Surprise,NA,NA,30
6368,NA,2008-08-08,SHARED,M-EA-04,2003-04-09,Male,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Happy,Angry,Fear,Disgust,Neutral,NA,NA,30
6369,NA,2008-08-18,SHARED,M-EA-05,2003-02-23,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Angry,Neutral,Fear,Disgust,NA,NA,NA,30
6370,NA,2008-08-29,SHARED,M-EA-06,2003-03-24,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Angry,Disgust,Surprise,NA,NA,NA,30
6371,NA,2009-06-26,SHARED,M-EA-06,2003-03-24,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Angry,Fear,Disgust,Surprise,Neutral,Happy,Sad,30
6372,NA,2009-02-10,SHARED,M-EA-07,2003-10-02,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Angry,Neutral,Fear,Happy,Surprise,Sad,NA,30
6373,NA,2009-03-24,SHARED,M-EA-08,2003-07-29,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Angry,Disgust,Surprise,Neutral,NA,NA,30
6374,NA,2009-03-26,SHARED,M-EA-09,2003-09-08,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Angry,Disgust,Neutral,NA,NA,NA,30
6375,NA,2009-03-30,SHARED,M-EA-10,2004-06-11,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Angry,Fear,Neutral,Disgust,Surprise,NA,30
6376,NA,2009-03-31,SHARED,M-EA-11,2004-12-07,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Angry,Disgust,Neutral,NA,NA,NA,NA,30
6377,NA,2009-04-06,SHARED,M-EA-12,2000-08-09,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Neutral,Disgust,Angry,Fear,Surprise,NA,30
6378,NA,2009-04-06,SHARED,M-EA-13,2002-12-26,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Angry,Sad,Fear,Neutral,NA,NA,NA,30
6379,NA,2009-04-08,SHARED,M-EA-14,2003-08-04,Male,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Happy,Disgust,Neutral,Angry,NA,NA,NA,30
6380,NA,2009-04-23,SHARED,M-EA-18,2004-01-23,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Surprise,Happy,Angry,Fear,Neutral,NA,NA,30
6381,NA,2009-04-23,SHARED,M-EA-19,2004-04-21,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Angry,NA,NA,NA,NA,NA,30
