session_id,session_name,session_date,session_release,participant_ID,participant_info,participant_description,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_disability,participant_language,participant_country,participant_state,group_name,group_description,vol_id
19045,NA,materials,NA,3628,C026,DOB_is_placeholder,2015-11-01,Female,White,Not Hispanic or Latino,typical,English,UK,NA,ROW,NA,390
19046,NA,materials,NA,0049,C067,DOB_is_placeholder,2015-05-01,Male,White,Not Hispanic or Latino,typical,English,UK,NA,ROW,NA,390
19047,NA,materials,NA,2811,C061,DOB_is_placeholder,2016-06-01,Female,White,Not Hispanic or Latino,typical,English,UK,NA,ROW,NA,390
19048,NA,materials,NA,9755,0340,DOB_is_placeholder,2017-03-01,Female,White,Not Hispanic or Latino,typical,English,US,CA,WAR,NA,390
19049,NA,materials,NA,2337,0530,DOB_is_placeholder,2016-12-01,Female,Unknown or not reported,Hispanic or Latino,typical,English,US,CA,WAR,NA,390
19050,NA,materials,NA,5959,0651,DOB_is_placeholder,2016-09-01,Male,White,Not Hispanic or Latino,typical,English,US,CA,WAR,NA,390
19051,NA,materials,NA,5271,M08-a1,DOB_is_placeholder,2015-10-01,Male,Unknown or not reported,Not indigenous,typical,Spanish,ARG,Bs.As,ROS,NA,390
19052,NA,materials,NA,9559,B08-a1,DOB_is_placeholder,NA,Female,Unknown or not reported,Indigenous,typical,Spanish,ARG,Bs.As.,ROS,NA,390
19053,NA,materials,NA,8340,B05-a1,DOB_is_placehold,NA,Female,Unknown or not reported,Not indigenous,typical,Spanish,ARG,Bs.As.,ROS,NA,390
27444,NA,materials,NA,2224,01_16,DOB_is_placeholder,2016-02-01,Female,White,Not Hispanic or Latino,typical,English,US,NY,BER,NA,390
