session_id,session_name,session_date,session_release,participant_ID,participant_info,participant_gender,participant_race,participant_ethnicity,exclusion_name,vol_id
45489,1049,NA,EXCERPTS,1049,191,Female,More than one,NA,poor tracking,1131
45490,1050,NA,SHARED,1050,253,Male,White,NA,poor tracking,1131
45491,1051,NA,EXCERPTS,1051,253,Female,White,Hispanic or Latino,not enough trials,1131
45492,1052,NA,EXCERPTS,1052,315,Female,White,NA,NA,1131
45493,1053,NA,EXCERPTS,1053,256,Male,More than one,NA,NA,1131
45494,1054,NA,EXCERPTS,1054,254,Female,More than one,NA,unable to calibrate,1131
45495,1055,NA,EXCERPTS,1055,250,Female,White,NA,NA,1131
45496,1056,NA,EXCERPTS,1056,310,Female,Black or African American,Hispanic or Latino,NA,1131
45497,1057,NA,EXCERPTS,1057,186,Male,More than one,NA,NA,1131
45498,1058,NA,EXCERPTS,1058,194,Female,White,NA,not enough trials,1131
45499,1059,NA,PRIVATE,1059,185,Female,Black or African American,Hispanic or Latino,NA,1131
45500,1060,NA,PRIVATE,1060,193,Male,NA,Hispanic or Latino,NA,1131
45501,1061,NA,EXCERPTS,1061,190,Female,White,NA,unable to calibrate,1131
45502,1062,NA,EXCERPTS,1062,187,Female,White,NA,NA,1131
45503,1064,NA,PRIVATE,1064,192,Female,More than one,NA,NA,1131
45504,1065,NA,EXCERPTS,1065,187,Female,White,Hispanic or Latino,NA,1131
45505,1066,NA,SHARED,1066,317,Male,Black or African American,NA,not enough trials,1131
45506,1067,NA,EXCERPTS,1067,180,Female,White,Hispanic or Latino,unable to calibrate,1131
45507,1068,NA,EXCERPTS,1068,299,Male,Unknown or not reported,Unknown or not reported,NA,1131
45508,1069,NA,PRIVATE,1069,121,Female,White,NA,unable to calibrate,1131
45509,1070,NA,EXCERPTS,1070,245,Female,Unknown or not reported,Hispanic or Latino,NA,1131
45510,1071,NA,EXCERPTS,1071,133,Male,White,NA,NA,1131
45511,1072,NA,PRIVATE,1072,118,Female,White,NA,NA,1131
45512,1073,NA,PRIVATE,1073,116,Female,White,NA,unable to calibrate,1131
45513,1074,NA,EXCERPTS,1074,128,Male,More than one,NA,NA,1131
45514,1075,NA,PRIVATE,1075,132,Male,White,NA,unable to calibrate,1131
45515,1076,NA,EXCERPTS,1076,120,Male,More than one,Hispanic or Latino,NA,1131
45516,1077,NA,EXCERPTS,1077,121,Male,White,NA,unable to calibrate,1131
45517,1078,NA,EXCERPTS,1078,124,Male,White,NA,NA,1131
45519,1079,NA,EXCERPTS,1079,129,Male,Black or African American,NA,NA,1131
45520,1080,NA,EXCERPTS,1080,125,Male,White,Hispanic or Latino,unable to calibrate,1131
45521,1081,NA,PRIVATE,1081,123,Male,More than one,NA,unable to calibrate,1131
45522,1082,NA,PRIVATE,1082,317,Male,White,NA,NA,1131
45523,8000,NA,EXCERPTS,8000,242,Female,White,NA,not enough trials,1131
45524,8001,NA,EXCERPTS,8001,166,Male,More than one,NA,not enough trials,1131
45525,8002,NA,PRIVATE,8002,220,Male,Asian,NA,unable to calibrate,1131
45526,8003,NA,PRIVATE,8003,240,Female,More than one,NA,unable to calibrate,1131
45527,8004,NA,EXCERPTS,8004,150,Male,Unknown or not reported,NA,experimenter error,1131
45528,8005,NA,EXCERPTS,8005,154,Male,White,Hispanic or Latino,NA,1131
45529,8006,NA,PRIVATE,8006,216,Female,More than one,NA,NA,1131
45530,8007,NA,EXCERPTS,8007,158,Female,White,NA,NA,1131
45531,8008,NA,PRIVATE,8008,377,Male,White,Hispanic or Latino,not enough trials,1131
45532,8009,NA,PRIVATE,8009,253,Female,More than one,NA,fussy,1131
45533,8010,NA,EXCERPTS,8010,250,Female,Black or African American,NA,unable to calibrate,1131
45534,8011,NA,EXCERPTS,8011,224,Male,White,Hispanic or Latino,fussy,1131
45535,8013,NA,EXCERPTS,8013,188,Male,More than one,Hispanic or Latino,unable to calibrate,1131
45536,8014,NA,PRIVATE,8014,248,Female,White,NA,unable to calibrate,1131
45537,8015,NA,EXCERPTS,8015,218,Male,White,NA,not enough trials,1131
45538,8017,NA,EXCERPTS,8017,227,Male,White,Hispanic or Latino,unable to calibrate,1131
45539,8026,NA,EXCERPTS,8026,201,Male,White,NA,NA,1131
45540,8027,NA,EXCERPTS,8027,329,Female,White,NA,NA,1131
45541,8034,NA,EXCERPTS,8034,261,Female,More than one,Hispanic or Latino,not enough trials,1131
45542,8040,NA,EXCERPTS,8040,343,Female,White,Hispanic or Latino,NA,1131
45543,8041,NA,EXCERPTS,8041,221,Male,White,NA,poor tracking,1131
45544,8044,NA,EXCERPTS,8044,178,Female,White,NA,unable to calibrate,1131
45545,8047,NA,EXCERPTS,8047,271,Female,White,NA,NA,1131
