session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_gestational age,participant_disability,pilot_pilot,exclusion_reason,context_setting,context_country,context_state,vol_id
18745,NA,2012-09-07,EXCERPTS,24,2011-12-01,Male,More than one,Not Hispanic or Latino,40,typical,NA,Withdrew/fussy/tired,Lab,US,NY,192
18746,NA,2012-09-07,EXCERPTS,25,2011-12-07,Male,More than one,Not Hispanic or Latino,37,typical,NA,Procedural/experimenter error,Lab,US,NY,192
18747,NA,2012-XX-XX,PRIVATE,26,NA,Male,More than one,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18748,NA,2012-XX-XX,NA,27,NA,Female,Unknown or not reported,Unknown or not reported,NA,typical,NA,NA,Lab,US,NY,192
18749,NA,2012-XX-XX,NA,28,NA,Male,Unknown or not reported,Unknown or not reported,NA,typical,NA,NA,Lab,US,NY,192
18750,NA,2012-10-04,EXCERPTS,29,2010-09-28,Male,More than one,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18751,NA,2012-XX-XX,NA,30,NA,Male,White,Unknown or not reported,NA,typical,NA,NA,Lab,US,NY,192
18752,NA,2012-XX-XX,NA,31,NA,Female,White,Unknown or not reported,NA,typical,NA,Did not meet inclusion criteria,Lab,US,NY,192
18753,NA,2012-10-10,EXCERPTS,32,2010-10-07,Female,White,Not Hispanic or Latino,NA,typical,NA,Withdrew/fussy/tired,Lab,US,NY,192
18754,NA,2012-10-10,EXCERPTS,33,2010-09-29,Female,White,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18755,NA,2012-11-12,EXCERPTS,34,2012-05-13,Male,White,Hispanic or Latino,39,typical,NA,NA,Lab,US,NY,192
18756,NA,2012-XX-XX,PRIVATE,35,NA,Male,Black or African American,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18757,NA,2012-XX-XX,PRIVATE,36,NA,Male,Black or African American,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18758,NA,2012-XX-XX,NA,37,NA,Male,White,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18759,NA,2012-11-26,EXCERPTS,38,2012-05-26,Male,White,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18760,NA,2012-12-03,EXCERPTS,39,2012-06-02,Male,White,Not Hispanic or Latino,40,typical,NA,Withdrew/fussy/tired,Lab,US,NY,192
18761,NA,2012-12-03,EXCERPTS,40,2012-05-28,Female,Unknown or not reported,Unknown or not reported,39,typical,NA,NA,Lab,US,NY,192
18762,NA,2012-XX-XX,NA,41,NA,Male,White,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18763,NA,2012-XX-XX,NA,42,NA,Female,Unknown or not reported,Unknown or not reported,NA,typical,NA,Withdrew/fussy/tired,Lab,US,NY,192
18764,NA,2012-XX-XX,NA,43,NA,Female,White,Not Hispanic or Latino,41,typical,NA,NA,Lab,US,NY,192
18765,NA,2012-XX-XX,NA,44,NA,Female,Asian,Not Hispanic or Latino,37,typical,NA,NA,Lab,US,NY,192
18766,NA,2013-XX-XX,NA,55,NA,Female,Unknown or not reported,Unknown or not reported,NA,typical,NA,Withdrew/fussy/tired,Lab,US,NY,192
18768,NA,2013-XX-XX,NA,56,NA,Female,White,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18769,NA,2013-XX-XX,NA,57,NA,Male,White,Not Hispanic or Latino,NA,typical,NA,Did not meet inclusion criteria,Lab,US,NY,192
18770,NA,2013-XX-XX,NA,58,NA,Male,White,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18771,NA,2013-05-31,EXCERPTS,59,1990-12-30,Female,White,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18772,NA,2013-05-31,EXCERPTS,60,1993-01-06,Male,Asian,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18773,NA,2013-06-03,EXCERPTS,61,1992-09-10,Female,Asian,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18775,NA,2013-06-04,EXCERPTS,63,1991-03-13,Female,White,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18776,NA,2013-06-04,EXCERPTS,64,1991-11-30,Male,Asian,Not Hispanic or Latino,NA,typical,NA,NA,Lab,US,NY,192
18778,NA,materials,NA,Stimuli,NA,NA,NA,NA,NA,typical,NA,NA,NA,NA,NA,192
