id,name,owners,permission,doi,n_sessions,vid_hrs,n_assets
135,12-month-olds and their caregivers wearing head-mounted eye trackers during spontaneous free play in lab playroom,"Adolph, Karen",3,https://doi.org/10.17910/B7.135,101,23.286420555555555,101
70,Arnold Gesell’s Films of Infant and Child Development,"Baker, David",2,https://doi.org/10.17910/B7.70,307,16.111666666666668,307
108,Facial expressions in 4-month-olds in the still face paradigm and later attachment at 12 months in the Strange Situation,"Messinger, Daniel",2,https://doi.org/10.17910/B7.108,61,15.061348888888888,61
98,Absence of Construct Validity in Standard False Belief Tasks,"Fabricius, William",2,https://doi.org/10.17910/B7Z300,66,12.5080725,66
124,Head-mounted eye tracking: A new method to describe infant looking,"Adolph, Karen",3,https://doi.org/10.17910/B7.124,26,10.80869388888889,26
4,Crawling and walking infants see the world differently,"Adolph, Karen",3,https://doi.org/10.17910/B7RP4H,73,10.748913055555555,73
445,ManyBabies 1: bll-umanitoba,"Soderstrom, Melanie; Klassen, Kelsey",2,https://doi.org/10.17910/B7.445,108,10.480743333333333,108
297,Affordances of Clay at the Clay Topos,"Nonaka, Tetsushi",2,https://doi.org/10.17910/B7.297,12,9.169006666666666,12
10,Numerical Cognition Without Words: Evidence from Amazonia,"Gordon, Peter",2,https://doi.org/10.17910/B73W2X,6,9.044767499999999,6
473,Penn State Psychology Department 2017 R Bootcamp,"Gilmore, Rick O.",5,https://doi.org/10.17910/B7.473,9,8.735144722222222,9
303,CogDevSoc 2013 Workshop: Computational Models of Development,"Bonawitz, Elizabeth",2,https://doi.org/10.17910/B7.303,4,7.911942222222223,4
736,"Understanding Exploration-Exploitation Trade offs, CogSci 2018","Bonawitz, Elizabeth",2,https://doi.org/10.17910/B7.736,17,6.104748611111111,17
273,2016 Cognitive Science Workshop: Active Learning,"Bonawitz, Elizabeth",2,https://doi.org/10.17910/B7.273,12,3.5827330555555554,12
671,ManyBabies 1: musdev-utm,"Trehub, Sandra E",2,https://doi.org/10.17910/B7.671,37,3.559381111111111,37
15,Facial expressions in 6-month old infants and their parents in the still face paradigm and attachment at 15 months in the Strange Situation,"Messinger, Daniel",2,https://doi.org/10.17910/B7059D,42,3.177979722222222,42
192,Free viewing gaze behavior in infants and adults,"Franchak, John; Adolph, Karen",3,https://doi.org/10.17910/B7.192,43,2.5693955555555554,43
725,Manybabies 1: bounbcl,"Soley, Gaye",2,https://doi.org/10.17910/B7.725,29,2.2712308333333335,29
647,Quantifying sources of variability in infancy research using the infant-directed speech preference,"Braun, Bettina",2,https://doi.org/10.17910/B7.647,16,1.8107272222222222,16
16,"Excerpt volume: Human quadrupeds, primate quadrupedalism, and Uner Tan Syndrome","Adolph, Karen; Shapiro, Liza",3,https://doi.org/10.17910/B7VC7G,11,1.43233,11
2,Head-mounted camera views of adults in natural environments,"Gilmore, Rick O.",5,https://doi.org/10.17910/B7WC7S,14,1.3279952777777777,14
86,Excerpt volume: Crawling procedure & locomotor history,"Adolph, Karen",3,https://doi.org/10.17910/B75K5K,8,1.24563,8
710,ManyBabies1: ICCL-BC,"Cordes, Sara",2,https://doi.org/10.17910/B7.710,15,1.189103888888889,15
9,Children's social and motor play on a playground,"Adolph, Karen",3,https://doi.org/10.17910/B77P4V,5,1.137915,5
644,Idealized Forms in Early Concepts of the Biological World,"Rhodes, Marjorie",2,https://doi.org/10.17910/B7.644,6,0.8717005555555556,6
351,infant hand observation,"Kukke, Sahana Nalini",2,https://doi.org/10.17910/B7.351,18,0.7236761111111111,18
481,"Asking children to ""be helpers"" can backfire after setbacks","Rhodes, Marjorie",2,https://doi.org/10.17910/B7.481,4,0.41473249999999995,4
42,Head camera clips: parent infant object play at 36 to 57 weeks of age,"Smith, Linda B.",2,https://doi.org/10.17910/B7SG6H,40,0.2828308333333333,40
235,Sample play session video,"Frank, Michael C.",2,https://doi.org/10.17910/B7.235,1,0.2373275,1
241,Examples of True Belief and False Belief Contents tasks with 4-year-olds,"Fabricius, William; Gonzales, Christopher",2,https://doi.org/10.17910/B7.241,3,0.1682313888888889,3
471,"Excerpt volume: Illustrations from motor development of Siegler's ""Overlapping Waves Model"" of strategy choice","Adolph, Karen",3,https://doi.org/10.17910/B7.471,20,0.1680113888888889,20
691,Ad-hoc pragmatic implicatures among Shipibo-Konibo children in the Peruvian Amazon,"Frank, Michael C.",2,https://doi.org/10.17910/B7.691,2,0.1604802777777778,2
23,An analysis of optic flow observed by infants during natural activities,"Gilmore, Rick O.",5,https://doi.org/10.17910/B7QP46,9,0.15871555555555555,9
480,"Instructions in Mathematical Equivalence with Gesture and No Gesture Matched for Audio Content, Body Position and Eye Gaze","Cook, Susan Wagner",2,https://doi.org/10.17910/B7.480,8,0.15072805555555555,8
686,Databrary Help Videos,"Kennedy, Joy Lorenzo",2,https://doi.org/10.17910/B7.686,2,0.09829916666666666,2
36,Measuring the development of social attention using free-viewing,"Frank, Michael C.",2,https://doi.org/10.17910/B79G65,17,0.0950161111111111,17
77,"The Salience of Lower-Order, Localized Features in Highly Self-Similar Wallpaper Groups","Gilmore, Rick O.; Norcia, Anthony M.",5,https://doi.org/10.17910/B7KS3M,1,0.0925,1
116,Understanding the development of motion processing by characterizing optic flow experienced by infants and their mothers,"Gilmore, Rick O.; Raudies, Florian; Franchak, John; Adolph, Karen",5,https://doi.org/10.17910/B7.116,12,0.08781638888888889,12
721,ManyBabies 1: UdS-DevPsych,"Aschersleben, Gisa; Krieger, Florian",2,https://doi.org/10.17910/B7.721,1,0.08502222222222222,1
33,Representing exact number visually using mental abacus,"Frank, Michael C.",2,https://doi.org/10.17910/B7PP4W,6,0.0777613888888889,6
46,Different Gestalt processing for different actions? Comparing object-directed reaching and looking time measures,"Vishton, Peter",2,https://doi.org/10.17910/B78G6V,1,0.07661944444444445,1
50,Biological Motions,"Bertenthal, Bennett I.",2,https://doi.org/10.17910/B7W884,12,0.05327222222222222,12
47,Examples of rhythmical stereotypical behaviors at 4 and 7 months,"Fabricius, William",2,https://doi.org/10.17910/B74S3K,1,0.053247777777777776,1
252,Infant-specific gaze patterns in response to radial optic flow,"Shirai, Nobu",2,https://doi.org/10.17910/B7.252,16,0.04440777777777778,16
53,When do infants begin to follow a point?,"Bertenthal, Bennett I.",2,https://doi.org/10.17910/B7MS3X,1,0.04338888888888889,1
45,Cultural transmission of social essentialism,"Rhodes, Marjorie",2,https://doi.org/10.17910/B7D594,4,0.04124972222222222,4
61,Scale errors offer evidence for a perception-action dissociation early in life,"DeLoache, Judy",2,https://doi.org/10.17910/B7H019,6,0.040439722222222224,6
214,Pupillary Contagion in Infancy: Evidence for spontaneous transfer of arousal,"Fawcett, Christine",2,https://doi.org/10.17910/B7.214,29,0.03918694444444445,29
326,Multisensory Attention Assessment Protocol (MAAP),"Bahrick, Lorraine E.",2,https://doi.org/10.17910/B7.326,1,0.03916222222222222,1
37,Visual search and attention to faces during early infancy,"Frank, Michael C.",2,https://doi.org/10.17910/B75P47,2,0.03611888888888889,2
112,From faces to hands: Changing visual input in the first two years,"Fausey, Caitlin M.; Smith, Linda B.; Jayaraman, Swapnaa",2,https://doi.org/10.17910/B7JS39,2,0.033398333333333335,2
96,Training the Approximate Number System Improves Math Proficiency,"Brannon, Elizabeth M",2,https://doi.org/10.17910/B72S3Z,2,0.027348611111111112,2
38,The development of predictive processes in children’s discourse understanding,"Frank, Michael C.",2,https://doi.org/10.17910/B72018,4,0.026583611111111113,4
193,Excerpt volume: Infants' use of social information for guiding locomotion over slopes,"Adolph, Karen",3,https://doi.org/10.17910/B7.193,6,0.025765555555555555,6
27,Preliminary investigation of visual attention to human figures in photographs: Potential considerations for the design of aided AAC visual scene displays,"Wilkinson, Krista",2,https://doi.org/10.17910/B7G59R,18,0.025,18
236,The Social Origins of Sustained Attention in One-Year-Old Human Infants,"Yu, Chen",2,https://doi.org/10.17910/B7.236,1,0.02359111111111111,1
64,Teach to reach: The effects of active vs. passive reaching experiences on action and perception,"Needham, Amy",2,https://doi.org/10.17910/B77G6J,1,0.02235583333333333,1
35,Number as a cognitive technology: Evidence from Pirahã language and cognition,"Frank, Michael C.",2,https://doi.org/10.17910/B7F59F,2,0.022109999999999998,2
65,Stable individual differences in number discrimination in infancy,"Brannon, Elizabeth M",2,https://doi.org/10.17910/B73S38,1,0.019177777777777776,1
554,Naturalistic Examples of Infant/Toddler Musical Engagement,"Trehub, Sandra E; Cirelli, Laura",2,https://doi.org/10.17910/B7.554,2,0.018967777777777778,2
336,Intersensory Processing Efficiency Protocol (IPEP),"Bahrick, Lorraine E.",2,https://doi.org/10.17910/B7.336,1,0.018641666666666667,1
28,Excerpt Volume: Learning in the development of infant locomotion,"Adolph, Karen",3,https://doi.org/10.17910/B7BC7T,1,0.018129444444444445,1
121,Excerpt volume: Gibson's “visual cliff”,"Adolph, Karen",3,https://doi.org/10.17910/B7.121,1,0.017855,1
99,Faces in early visual environments of infants,"Fausey, Caitlin M.; Smith, Linda B.; Jayaraman, Swapnaa",2,https://doi.org/10.17910/B7T88H,1,0.01669277777777778,1
24,Excerpt volume: Specificity of learning: Why infants fall over a veritable cliff,"Adolph, Karen",3,https://doi.org/10.17910/B7KW28,1,0.015534166666666667,1
44,Children use syntax to learn verb meanings,"Naigles, Letitia",2,https://doi.org/10.17910/B7J01M,1,0.014999166666666666,1
51,Phenomenal permanence and the development of predictive tracking in infancy,"Bertenthal, Bennett I.",2,https://doi.org/10.17910/B7RG66,6,0.012447777777777778,6
43,Statistical learning by 8-month-old infants,"Saffran, Jenny",2,https://doi.org/10.17910/B7NP4K,1,0.011307777777777778,1
34,Development of infants’ attention to faces during the first year,"Frank, Michael C.",2,https://doi.org/10.17910/B7K01X,5,0.010565,5
459,Excerpt Volume: Object interaction and walking: Integration of old and new skills in infant development,"Adolph, Karen",3,https://doi.org/10.17910/B7.459,8,0.009914166666666667,8
458,Excerpt volume: Why infants move: Locomotor exploration is not directed toward destinations,"Adolph, Karen",3,https://doi.org/10.17910/B7.458,3,0.0090075,3
29,Where infants look determines how they see: eye movements and object perception performance in 3-month-olds,"Johnson, Scott",2,https://doi.org/10.17910/B76P4J,1,0.00887,1
465,test,"Arshad, Ahmad",2,https://doi.org/10.17910/B7.465,1,0.007,1
75,Children's Brain Responses to Optic Flow Vary by Pattern Type and Motion Speed,"Gilmore, Rick O.",5,https://doi.org/10.17910/B7QG6W,9,0.0065975,9
49,Cortical responses to optic flow and motion contrast across patterns and speeds,"Gilmore, Rick O.",5,https://doi.org/10.17910/B7101Z,1,0.0044444444444444444,1
62,An eye tracking investigation of developmental change in bottom-up attention orienting to faces in cluttered natural scenes,"Amso, Dima",2,https://doi.org/10.17910/B7C88G,1,0.0041525,1
73,Motion Coherence Thresholds for Adult Participants Viewing Different Patterns of Optic Flow,"Seisler, Andrea R.; Gilmore, Rick O.",5,https://doi.org/10.17910/B7V88T,4,0.0029322222222222223,4
31,Four-month-olds' discrimination of optic flow patterns depicting different directions of observer motion,"Gilmore, Rick O.",5,https://doi.org/10.17910/B7Z593,5,0.0027780555555555557,5
595,Excerpt: The organization of exploratory behaviors in infant locomotor planning.,"Adolph, Karen",3,https://doi.org/10.17910/B7.595,1,0.0019744444444444445,1
32,Spatio-temporal tuning of coherent motion evoked responses in 4–6 month old infants and adults,"Gilmore, Rick O.",5,https://doi.org/10.17910/B7TG6T,1,0.0016683333333333333,1
30,The Child Affective Facial Expression (CAFE) set,"LoBue, Vanessa",2,https://doi.org/10.17910/B7301K,NA,NA,NA
40,Magnet imitation task demonstration,"Barr, Rachel",2,https://doi.org/10.17910/B7X59S,NA,NA,NA
68,Visual Motion Priors Differ for Infants and Mothers,"Gilmore, Rick O.",5,https://doi.org/10.17910/B7001N,NA,NA,NA
79,Amnesia for object attributes: Failure to report attended information that had just reached conscious awareness,"Wyble, Brad",2,https://doi.org/10.17910/B7G010,NA,NA,NA
95,Semantic congruity affects numerical judgments similarly in monkeys and humans,"Brannon, Elizabeth M",2,https://doi.org/10.17910/B76K5W,NA,NA,NA
109,Classroom discourse in elementary school engineering lessons,"Carlsen, William",2,https://doi.org/10.17910/B7PK57,NA,NA,NA
165,Being Sticker Rich:  Numerical Context Influences Children’s Sharing Behavior,"Cordes, Sara",2,https://doi.org/10.17910/B7.165,NA,NA,NA
209,The Novel Object and Unusual Name (NOUN) Database: A collection of novel images for use in experimental research,"Horst, Jessica S.",2,https://doi.org/10.17910/B7.209,NA,NA,NA
234,EEG Asymmetry and ERN:  Behavioral Outcomes in Preschoolers,"Brooker, Rebecca Jo",2,https://doi.org/10.17910/B7.234,NA,NA,NA
268,Real-world visual statistics and infants’ first-learned object names,"Smith, Linda B.",2,https://doi.org/10.17910/B7.268,NA,NA,NA
270,Emergence of the ability to perceive dynamic events from still pictures in human infants,"Shirai, Nobu",2,https://doi.org/10.17910/B7.270,NA,NA,NA
272,Pubertal development shapes perception of complex facial expressions,"Motta-Mena, Natalie V.; Scherf, Kathryn Suzanne",2,https://doi.org/10.17910/B7.272,NA,NA,NA
324,Synthetic contrast- and spatial frequency-normalized grayscale patterns representing 2D wallpaper groups,"Norcia, Anthony M.; Gilmore, Rick O.; LIU, YANXI",5,https://doi.org/10.17910/B7.324,NA,NA,NA
357,Rules infants look by: Testing the assumption of transitivity in visual salience,"Kibbe, Melissa; Kaldy, Zsuzsa",2,https://doi.org/10.17910/B7.357,NA,NA,NA
390,Starter-ACLEW,"Bergelson, Elika; Warlaumont, Anne; Cristia, Alejandrina; Casillas, Marisa; Rosemberg, Celia; Soderstrom, Melanie; Rowland, Caroline; Durrant, Samantha; Bunce, John",2,https://doi.org/10.17910/B7.390,NA,NA,NA
468,"Individual data of ""Shirai et al. (submitted). Development of asymmetric vection for radial expansion/contraction motion: comparison between school-age children and adults""","Shirai, Nobu",2,https://doi.org/10.17910/B7.468,NA,NA,NA
482,"Individual data of ""Shirai et al. (submitted). Differences in the magnitude of representational momentum between school-aged children and adults as a function of experimental task""","Shirai, Nobu",2,https://doi.org/10.17910/B7.482,NA,NA,NA
545,The developmental time course and topographic distribution of individual-level monkey face discrimination in the infant brain,"Scott, Lisa",2,https://doi.org/10.17910/B7.545,NA,NA,NA
546,Learning to Individuate: The Specificity of Labels Differentially Impacts Infant Visual Attention,"Scott, Lisa",2,https://doi.org/10.17910/B7.546,NA,NA,NA
569,The effect of race-based social categorization on emotion recognition in a multicultural context,"Moulson, Margaret",2,https://doi.org/10.17910/B7.569,NA,NA,NA
593,Neural and behavioral effects of subordinate-level training of novel objects across manipulations of color and spatial frequency,"Scott, Lisa",2,https://doi.org/10.17910/B7.593,NA,NA,NA
608,Differential neural responses to faces paired with labels versus faces paired with noise at 6- and at 9-months,"Scott, Lisa",2,https://doi.org/10.17910/B7.608,NA,NA,NA
697,Slone&Johnson_Cognition2018_data,"Johnson, Scott",2,https://doi.org/10.17910/B7.697,NA,NA,NA
711,Jirout Lab Measures,"Jirout, Jamie",2,https://doi.org/10.17910/B7.711,NA,NA,NA
720,The impact of verbal labels on visual fixations and scanning strategies in infancy,"Scott, Lisa",2,https://doi.org/10.17910/B7.720,NA,NA,NA
